District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
Alabama 1,Jerry Carl,,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,(age 64)
Alabama 2,Barry Moore,,Republican,Alabama House of Representatives,Enterprise State Community College (AS)Auburn University (BS),2021,Enterprise,(age 55)
Alabama 3,Mike Rogers,,Republican,Calhoun County CommissionerAlabama House of Representatives,"Jacksonville State University (BA, MPA)Birmingham School of Law (JD)",2003,Anniston[3],(age 64)
Alabama 4,Robert Aderholt,,Republican,Haleyville Municipal Judge,University of North AlabamaBirmingham–Southern College (BA)Samford University (JD),1997,Haleyville,(age 57)
Alabama 5,Mo Brooks,,Republican,Alabama House of RepresentativesMadison County Commissioner,Duke University (BA)University of Alabama (JD),2011,Huntsville,(age 68)
Alabama 6,Gary Palmer,,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,(age 68)
Alabama 7,Terri Sewell,,Democratic,Attorney,"Princeton University (BA)St Hilda's College, Oxford (MA)Harvard University (JD)",2011,Birmingham,(age 57)
Alaska at-large,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
Arizona 1,Tom O'Halleran,,Democratic,Arizona Senate,Lewis UniversityDePaul University,2017,Sedona,(age 76)
Arizona 2,Ann Kirkpatrick,,Democratic,U.S. HouseArizona House of Representatives,"University of Arizona (BA, JD)",2019,Tucson,(age 72)
Arizona 3,Raúl Grijalva,,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,(age 74)
Arizona 4,Paul Gosar,,Republican,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Prescott,(age 63)
Arizona 5,Andy Biggs,,Republican,Arizona Senate,"Brigham Young University (BA)University of Arizona (JD)Arizona State University, Phoenix (MA)",2017,Gilbert,(age 63)
Arizona 6,David Schweikert,,Republican,Arizona House of RepresentativesArizona Board of EducationArizona Board of EqualizationMaricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",2011,Fountain Hills[4],(age 60)
Arizona 7,Ruben Gallego,,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,(age 42)
Arizona 8,Debbie Lesko,,Republican,Arizona House of RepresentativesArizona SenatePresident Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,(age 63)
Arizona 9,Greg Stanton,,Democratic,Mayor of Phoenix,Marquette University (BA)University of Michigan (JD),2019,Phoenix,(age 52)
Arkansas 1,Rick Crawford,,Republican,BroadcasterBusinessman,Arkansas State University (BS),2011,Jonesboro,(age 56)
Arkansas 2,French Hill,,Republican,Businessman,Vanderbilt University (BS),2015,Little Rock,(age 65)
Arkansas 3,Steve Womack,,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,(age 65)
Arkansas 4,Bruce Westerman,,Republican,Arkansas House of Representatives,University of Arkansas (BS)Yale University (MS),2015,Hot Springs,(age 54)
California 1,Doug LaMalfa,,Republican,California State SenateCalifornia State Assembly,Butte CollegeCalifornia Polytechnic State University (BS),2013,Oroville[5],(age 62)
California 2,Jared Huffman,,Democratic,California State Assembly,"University of California, Santa Barbara (BA)Boston College (JD)",2013,San Rafael,(age 58)
California 3,John Garamendi,,Democratic,United States Deputy Secretary of the InteriorLieutenant Governor of CaliforniaCalifornia Insurance CommissionerCalifornia State SenateCalifornia State Assembly,"University of California, Berkeley (BA)Harvard University (MBA)",2009 (special),Walnut Grove,(age 77)
California 4,Tom McClintock,,Republican,California SenateCalifornia State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,(age 66)
California 5,Mike Thompson,,Democratic,California State Senate,"Napa Valley CollegeCalifornia State University, Chico (BA, MPA)",1999,St. Helena,(age 71)
California 6,Doris Matsui,,Democratic,Sacramento City Council,"University of California, Berkeley (BA)",2005 (special),Sacramento,(age 77)
California 7,Ami Bera,,Democratic,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,(age 57)
California 8,Jay Obernolte,,Republican,California State AssemblyVideo game developer,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,(age 51)
California 9,Jerry McNerney,,Democratic,Engineering executive,"United States Military AcademyUniversity of New Mexico (BS, MS, PhD)",2007,Stockton,(age 71)
California 10,Josh Harder,,Democratic,Venture capitalistProfessor,"Stanford University (BA)Harvard University (MBA, MPP)",2019,Turlock,(age 35)
California 11,Mark DeSaulnier,,Democratic,California State SenateCalifornia State AssemblyContra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,(age 70)
California 12,Nancy Pelosi,,Democratic,California Democratic Party Chair,Trinity Washington University (BA),1987 (special),San Francisco,(age 82)
California 13,Barbara Lee,,Democratic,California State Assembly,"Mills College (BA)University of California, Berkeley (MSW)",1998 (special),Oakland,(age 76)
California 14,Jackie Speier,,Democratic,California State SenateCalifornia State AssemblySan Mateo County Board of Supervisors,"University of California, Davis (BA)University of California, Hastings (JD)",2008 (special),Hillsborough,(age 72)
California 15,Eric Swalwell,,Democratic,Dublin City Council,"Campbell UniversityUniversity of Maryland, College Park (BA)University of Maryland, Baltimore (JD)",2013,Dublin,(age 41)
California 16,Jim Costa,,Democratic,California State SenateCalifornia State Assembly,"California State University, Fresno (BA)",2005,Fresno,(age 70)
California 17,Ro Khanna,,Democratic,AttorneyAuthorEducator,University of Chicago (BA)Yale University (JD),2017,Fremont,(age 45)
California 18,Anna Eshoo,,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,(age 79)
California 19,Zoe Lofgren,,Democratic,Santa Clara County Board of Supervisors,Stanford University (BA)Santa Clara University(JD),1995,San Jose,(age 74)
California 20,Jimmy Panetta,,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula CollegeUniversity of California, Davis (BA)Santa Clara University(JD)",2017,Carmel Valley,(age 52)
California 21,David Valadao,,Republican,U.S. HouseCalifornia State AssemblyFarmer,College of the Sequoias,2021,Hanford,(age 45)
California 22,Connie Conway,,Republican,California State Assembly,"College of the SequoiasCalifornia State University, Fresno",2022 (special),Tulare,(age 71)
California 23,Kevin McCarthy,,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,(age 57)
California 24,Salud Carbajal,,Democratic,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA)Fielding Graduate University (MA)",2017,Santa Barbara,(age 57)
California 25,Mike Garcia,,Republican,BusinessmanUnited States Navy,United States Naval Academy (BS)Georgetown University (MA),2020 (special),Santa Clarita,(age 46)
California 26,Julia Brownley,,Democratic,California State Assembly,George Washington University (BA)American University (MBA),2013,Westlake Village[6],(age 69)
California 27,Judy Chu,,Democratic,Mayor of Monterey ParkMonterey Park City CouncilCalifornia State AssemblyCalifornia State Board of Equalization,"University of California, Los Angeles (BA)Alliant International University (MA, PhD)",2009 (special),Monterey Park,(age 69)
California 28,Adam Schiff,,Democratic,California State SenateAssistant Prosecutor for theUnited States Attorney for the Southern District of California,Stanford University (BA)Harvard University (JD),2001,Burbank,(age 62)
California 29,Tony Cárdenas,,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,Pacoima[7],(age 59)
California 30,Brad Sherman,,Democratic,California Board of Equalization,"University of California, Los Angeles (BA)Harvard University (JD)",1997,Sherman Oaks,(age 67)
California 31,Pete Aguilar,,Democratic,Mayor of Redlands,University of Redlands (BS),2015,Redlands,(age 43)
California 32,Grace Napolitano,,Democratic,California State Assembly,Cerritos CollegeTexas Southmost College,1999,Norwalk,(age 85)
California 33,Ted Lieu,,Democratic,California State SenateCalifornia State Assembly,"Stanford University (BA, BS)Georgetown University (JD)",2015,Torrance,(age 53)
California 34,Jimmy Gomez,,Democratic,California State Assembly,"University of California, Los Angeles (BA)Harvard University (MPP)",2017 (special),Los Angeles,(age 47)
California 35,Norma Torres,,Democratic,California State SenateCalifornia State AssemblyMayor of Pomona,National Labor College (BA),2015,Pomona,(age 57)
California 36,Raul Ruiz,,Democratic,Emergency physician,"University of California, Los Angeles (BS)Harvard University (MD, MPP, MPH)",2013,Coachella[8],(age 49)
California 37,Karen Bass,,Democratic,Speaker of the California State Assembly,"San Diego State UniversityCalifornia State University, Dominguez Hills (BS)",2011,Los Angeles[9],(age 68)
California 38,Linda Sánchez,,Democratic,Attorney,"University of California, Berkeley (BA)University of California, Los Angeles (JD)",2003,Whittier[10],(age 53)
California 39,Young Kim,,Republican,California State Assembly,University of Southern California (BBA),2021,La Habra,(age 59)
California 40,Lucille Roybal-Allard,,Democratic,California State Assembly Public relations executive,"California State University, Los Angeles (BA)",1993,Downey,(age 81)
California 41,Mark Takano,,Democratic,Teacher,"Harvard University (BA)University of California, Riverside (MFA)",2013,Riverside,(age 61)
California 42,Ken Calvert,,Republican,Real estate executive,Chaffey CollegeSan Diego State University (BA),1993,Corona,(age 69)
California 43,Maxine Waters,,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Los Angeles[11],(age 83)
California 44,Nanette Barragán,,Democratic,Hermosa Beach City Council,"University of California, Los Angeles (BA)University of Southern California (JD)",2017,San Pedro,(age 45)
California 45,Katie Porter,,Democratic,AttorneyProfessor,Yale University (BA)Harvard University (JD),2019,Irvine,(age 48)
California 46,Lou Correa,,Democratic,California State SenateOrange County Board of SupervisorsCalifornia State Assembly,"California State University, Fullerton (BA)University of California, Los Angeles (JD, MBA)",2017,Santa Ana,(age 64)
California 47,Alan Lowenthal,,Democratic,California State SenateCalifornia State Assembly,"Hobart College (BA)Ohio State University (MA, PhD)",2013,Long Beach,(age 81)
California 48,Michelle Steel,,Republican,Orange County Board of SupervisorsCalifornia State Board of Equalization,Pepperdine University (BA)University of Southern California (MBA),2021,Surfside,(age 67)
California 49,Mike Levin,,Democratic,Environmental activist,Stanford University (BA)Duke University (JD),2019,San Juan Capistrano,(age 43)
California 50,Darrell Issa,,Republican,BusinessmanU.S. House,Siena Heights University (BA),2021,San Diego[12],(age 68)
California 51,Juan Vargas,,Democratic,California State SenateCalifornia State AssemblySan Diego City Council,University of San Diego (BA)Fordham University (MA)Harvard University (JD),2013,San Diego[13],(age 61)
California 52,Scott Peters,,Democratic,San Diego City CouncilSan Diego Port Commission,Duke University (BA)New York University (JD),2013,San Diego[14],(age 64)
California 53,Sara Jacobs,,Democratic,Nonprofit founderPolicy advisor,"Columbia University (BA, MIA)",2021,San Diego,(age 33)
Colorado 1,Diana DeGette,,Democratic,Colorado House of Representatives,Colorado College (BA)New York University (JD),1997,Denver,(age 64)
Colorado 2,Joe Neguse,,Democratic,Executive Director of the Colorado Department of Regulatory AgenciesRegents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",2019,Lafayette[15],(age 38)
Colorado 3,Lauren Boebert,,Republican,BusinesswomanRestauranteur,–,2021,Silt,(age 35)
Colorado 4,Ken Buck,,Republican,Weld County District Attorney,Princeton University (BA)University of Wyoming (JD),2015,Windsor[16],(age 63)
Colorado 5,Doug Lamborn,,Republican,President Pro Tempore of the Colorado SenateColorado House of Representatives,"University of Kansas (BS, JD)",2007,Colorado Springs,(age 68)
Colorado 6,Jason Crow,,Democratic,AttorneyU.S. Army Captain,"University of Wisconsin, Madison (BA)University of Denver (JD)",2019,Centennial[17],(age 43)
Colorado 7,Ed Perlmutter,,Democratic,Colorado Senate,"University of Colorado Boulder (BA, JD)",2007,Arvada[18],(age 69)
Connecticut 1,John B. Larson,,Democratic,Connecticut SenateEast Hartford City CouncilEast Hartford Board of Education,Central Connecticut State University (BA),1999,East Hartford,(age 74)
Connecticut 2,Joe Courtney,,Democratic,Connecticut House of Representatives,Tufts University (BA)University of Connecticut (JD),2007,Vernon,(age 69)
Connecticut 3,Rosa DeLauro,,Democratic,Executive Director of EMILY's ListPolitical aide,"Marymount College, Tarrytown (BA)London School of Economics(MA)Columbia University (MA)",1991,New Haven,(age 79)
Connecticut 4,Jim Himes,,Democratic,Financial executiveGreenwich Housing Authority Board,"Harvard University (BA)St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,(age 56)
Connecticut 5,Jahana Hayes,,Democratic,Teacher,Naugatuck Valley Community CollegeSouthern Connecticut State University (BA)University of Saint Joseph (MA)University of Bridgeport (SYC),2019,Wolcott,(age 49)
Delaware at-large,Lisa Blunt Rochester,,Democratic,Delaware Health and Social Services SecretaryDelaware Labor SecretaryDelaware Personnel Director,Fairleigh Dickinson University(BA)University of Delaware (MA),2017,Wilmington,(age 60)
Florida 1,Matt Gaetz,,Republican,Florida House of Representatives,Florida State University (BS)College of William & Mary (JD),2017,Fort Walton Beach,(age 40)
Florida 2,Neal Dunn,,Republican,Surgeon,Washington and Lee University (BS)George Washington University (MD),2017,Panama City,(age 69)
Florida 3,Kat Cammack,,Republican,Political advisor,Metropolitan State University of Denver (BA)Naval War College (MS),2021,Gainesville,(age 34)
Florida 4,John Rutherford,,Republican,Sheriff of Duval County,Florida State CollegeFlorida State University (BS),2017,Jacksonville,(age 69)
Florida 5,Al Lawson,,Democratic,Florida Senate,Florida A&M University (BA)Florida State University (MPA),2017,Tallahassee,(age 73)
Florida 6,Michael Waltz,,Republican,U.S. ArmyIntelligence analyst,Virginia Military Institute (BS),2019,St. Augustine Beach[19],(age 48)
Florida 7,Stephanie Murphy,,Democratic,AdvisorEducator,College of William & Mary (BA)Georgetown University (MS),2017,Winter Park,(age 43)
Florida 8,Bill Posey,,Republican,Florida SenateFlorida House of RepresentativesRockledge City Council,Eastern Florida State College,2009,Rockledge,(age 74)
Florida 9,Darren Soto,,Democratic,Florida SenateFlorida House of Representatives,Rutgers University–New Brunswick (BA)George Washington University (JD),2017,Kissimmee[20],(age 44)
Florida 10,Val Demings,,Democratic,Chief of the Orlando Police Department,Florida State University (BS),2017,Orlando,(age 65)
Florida 11,Daniel Webster,,Republican,Florida SenateSpeaker of Florida House of Representatives,Georgia Institute of Technology (BS),2011,Clermont[21],(age 73)
Florida 12,Gus Bilirakis,,Republican,Florida House of Representatives,St. Petersburg CollegeUniversity of Florida (BA)Stetson University (JD),2007,Palm Harbor,(age 59)
Florida 13,Charlie Crist,,Democratic,Governor of FloridaAttorney General of FloridaEducation Commissioner of FloridaFlorida Senate,Wake Forest UniversityFlorida State University (BA)Samford University (JD),2017,St. Petersburg,(age 66)
Florida 14,Kathy Castor,,Democratic,Assistant General Counsel to the Florida Department of Community AffairsPresident of the Florida Association of Women LawyersHillsborough County Board of Commissioners,Emory University (BA)Florida State University (JD),2007,Tampa,(age 55)
Florida 15,Scott Franklin,,Republican,Lakeland City Commission,United States Naval Academy (BA)Embry–Riddle Aeronautical University (MBA),2021,Lakeland,(age 57)
Florida 16,Vern Buchanan,,Republican,Auto dealer,Cleary University (BA)University of Detroit Mercy (MBA),2007,Sarasota[22],(age 71)
Florida 17,Greg Steube,,Republican,Florida SenateFlorida House of Representatives,"University of Florida (BS, JD)",2019,Sarasota,(age 44)
Florida 18,Brian Mast,,Republican,U.S. Army Soldier,Palm Beach Atlantic UniversityAmerican Military UniversityHarvard University (BLA),2017,Palm City[23],(age 42)
Florida 19,Byron Donalds,,Republican,Florida House of Representatives,Florida State University (BS),2021,Naples,(age 43)
Florida 20,Sheila Cherfilus-McCormick,,Democratic,CEO of Trinity Health,Howard University (BA)St. Thomas University (JD),2022 (special),Miramar,(age 43)
Florida 21,Lois Frankel,,Democratic,Mayor of West Palm BeachFlorida House of Representatives,Boston University (BA)Georgetown University (JD),2013,West Palm Beach,(age 74)
Florida 22,Ted Deutch,,Democratic,Florida Senate,"University of Michigan (BA, JD)",2010 (special),Boca Raton,(age 56)
Florida 23,Debbie Wasserman Schultz,,Democratic,Florida SenateFlorida House of RepresentativesDemocratic National Committee Chair,"University of Florida (BA, MA)",2005,Weston,(age 55)
Florida 24,Frederica Wilson,,Democratic,Florida SenateFlorida House of RepresentativesMiami-Dade County Public Schools Board,Fisk University (BA)University of Miami (MA),2011,Miami Gardens,(age 79)
Florida 25,Mario Díaz-Balart,,Republican,Florida SenateFlorida House of Representatives,University of South Florida (BA),2003,Miami,(age 60)
Florida 26,Carlos Giménez,,Republican,Mayor of Miami-Dade CountyMiami-Dade County Commission,Barry University (BPA),2021,Miami,(age 68)
Florida 27,Maria Elvira Salazar,,Republican,News anchor Journalist,Miami Dade CollegeUniversity of Miami (BA)Harvard University (MPA),2021,Miami,(age 60)
Georgia 1,Buddy Carter,,Republican,Georgia SenateGeorgia House of RepresentativesMayor of Pooler,Young Harris CollegeUniversity of Georgia (BS),2015,Pooler,(age 64)
Georgia 2,Sanford Bishop,,Democratic,Georgia SenateGeorgia House of Representatives,Morehouse College (BA)Emory University (JD),1993,Albany,(age 75)
Georgia 3,Drew Ferguson,,Republican,Mayor of West Point,University of Georgia (BS)Augusta University (DMD),2017,West Point,(age 55)
Georgia 4,Hank Johnson,,Democratic,DeKalb County CommissionerAssociate Magistrate Judge,Clark Atlanta University (BA)Texas Southern University (JD),2007,Lithonia,(age 67)
Georgia 5,Nikema Williams,,Democratic,Georgia Senate Chair of the Georgia Democratic Party,Talladega College (BA),2021,Atlanta,(age 43)
Georgia 6,Lucy McBath,,Democratic,Activist,Virginia State University (BA),2019,Marietta,(age 62)
Georgia 7,Carolyn Bourdeaux,,Democratic,Professor,Yale University (BA)University of Southern California (MPA)Syracuse University (DPA),2021,Suwanee,(age 52)
Georgia 8,Austin Scott,,Republican,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,(age 52)
Georgia 9,Andrew Clyde,,Republican,U.S. Navy Commander,University of Notre Dame (BA)Bethel University (BBA)University of Georgia (MBA),2021,Athens,(age 58)
Georgia 10,Jody Hice,,Republican,Radio show hostSouthern Baptist pastor,Asbury University (BA)Southwestern Baptist Theological Seminary (MDiv)Luther Rice College and Seminary (DMin),2015,Greensboro[24],(age 62)
Georgia 11,Barry Loudermilk,,Republican,Georgia State SenateGeorgia House of Representatives,Air UniversityWayland Baptist University (BS),2015,Cassville,(age 58)
Georgia 12,Rick W. Allen,,Republican,Businessman,Auburn University (BS),2015,Augusta,(age 70)
Georgia 13,David Scott,,Democratic,Georgia State SenateGeorgia House of Representatives,Florida A&M University (BA)University of Pennsylvania (MBA),2003,Atlanta,(age 77)
Georgia 14,Marjorie Taylor Greene,,Republican,Businesswoman Activist,University of Georgia (BBA),2021,Rome[25],(age 47)
Hawaii 1,Ed Case,,Democratic,U.S. HouseHawaii House of Representatives,"Williams College (BA)University of California, Hastings (JD)",2019,Kaneohe,(age 69)
Hawaii 2,Kai Kahele,,Democratic,Hawaii Senate,University of Hawai'i at Mānoa (BA),2021,Hilo,(age 48)
Idaho 1,Russ Fulcher,,Republican,Idaho Senate,"Boise State University (BA, MBA)",2019,Meridian,(age 60)
Idaho 2,Mike Simpson,,Republican,Idaho House of RepresentativesBlackfoot City Council,Utah State University (BS)Washington University in St. Louis (DMD),1999,Idaho Falls,(age 71)
Illinois 1,Bobby Rush,,Democratic,Chicago City Council,Roosevelt University (BGS)University of Illinois Chicago (MA)McCormick Theological Seminary (MA),1993,Chicago[26],(age 75)
Illinois 2,Robin Kelly,,Democratic,Illinois House of RepresentativesChief of Staff to the Illinois TreasurerChief Administrative Officer to the Cook County President,"Bradley University (BA, MA)Northern Illinois University (PhD)",2013 (special),Matteson,(age 66)
Illinois 3,Marie Newman,,Democratic,Businesswoman Activist,University of Wisconsin–Madison (BA),2021,La Grange,(age 58)
Illinois 4,"Jesús ""Chuy"" García",,Democratic,Cook County Board of CommissionersIllinois SenateChicago City Council,"University of Illinois Chicago (BA, MUP)",2019,Chicago,(age 66)
Illinois 5,Mike Quigley,,Democratic,Cook County Board of Commissioners,Roosevelt University (BA)University of Chicago (MPP)Loyola University Chicago (JD),2009 (special),Chicago,(age 63)
Illinois 6,Sean Casten,,Democratic,Entrepreneur,"Middlebury College (BA)Dartmouth College (MSEM, MS)",2019,Downers Grove,(age 50)
Illinois 7,Danny K. Davis,,Democratic,Chicago City CouncilCook County Board of Commissioners,University of Arkansas at Pine Bluff (BA)Chicago State University (MS)Union Institute & University (PhD),1997,Chicago,(age 80)
Illinois 8,Raja Krishnamoorthi,,Democratic,Public servantAttorney,Princeton University (BS)Harvard University (JD),2017,Schaumburg,(age 49)
Illinois 9,Jan Schakowsky,,Democratic,Illinois House of Representatives,University of Illinois Urbana-Champaign (BS),1999,Evanston,(age 78)
Illinois 10,Brad Schneider,,Democratic,U.S. HouseManagement consultant,"Northwestern University (BS, MBA)",2017,Deerfield,(age 60)
Illinois 11,Bill Foster,,Democratic,U.S. HouseResearch physicistBusinessman,"University of Wisconsin–Madison (BS)Harvard University (MS, PhD)",2013,Naperville,(age 66)
Illinois 12,Mike Bost,,Republican,Illinois House of RepresentativesFirefighter,–,2015,Murphysboro,(age 61)
