District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
North Carolina 7,David Rouzer,,Republican,North Carolina Senate,North Carolina State University (BS),2015,Wilmington[56],(age 50)
North Carolina 8,Richard Hudson,,Republican,Businessman,University of North Carolina at Charlotte (BA),2013,Concord,(age 50)
North Carolina 9,Dan Bishop,,Republican,North Carolina SenateNorth Carolina House of Representatives Mecklenburg County Commission,"University of North Carolina at Chapel Hill (BS, JD)",2019 (special),Charlotte,(age 58)
North Carolina 10,Patrick McHenry,,Republican,North Carolina House of Representatives,North Carolina State UniversityBelmont Abbey College (BA),2005,Lake Norman[57],(age 46)
North Carolina 11,Madison Cawthorn,,Republican,Congressional staffer[58] Restaurant worker[59],Patrick Henry College,2021,Hendersonville,(age 26)
North Carolina 12,Alma Adams,,Democratic,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)Ohio State University (PhD)",2014 (special),Charlotte,(age 76)
North Carolina 13,Ted Budd,,Republican,Businessman,Appalachian State University (BS)Dallas Theological Seminary (MA)Wake Forest University (MBA),2017,Advance,(age 50)
North Dakota at-large,Kelly Armstrong,,Republican,North Dakota SenateChair of the North Dakota Republican Party,"University of North Dakota (BA, JD)",2019,Dickinson,(age 45)
Ohio 1,Steve Chabot,,Republican,Cincinnati City CouncilHamilton County CommissionerU.S. House,College of William & Mary (BA)Northern Kentucky University (JD),2011,Cincinnati,(age 69)
Ohio 2,Brad Wenstrup,,Republican,Physician,"University of Cincinnati (BA)Rosalind Franklin University (BS, DPM)",2013,Cincinnati,(age 64)
Ohio 3,Joyce Beatty,,Democratic,Ohio House of Representatives,Central State University (BA)Wright State University (MS)University of Cincinnati,2013,Columbus,(age 72)
Ohio 4,Jim Jordan,,Republican,Ohio SenateOhio House of Representatives,University of Wisconsin–Madison (BS)Ohio State University (MA)Capital University (JD),2007,Urbana[60],(age 58)
Ohio 5,Bob Latta,,Republican,Wood County CommissionerOhio House of RepresentativesOhio Senate,Bowling Green State University (BA)University of Toledo (JD),2007,Bowling Green,(age 66)
Ohio 6,Bill Johnson,,Republican,United States Air Force,Troy University (BS)Georgia Institute of Technology (MS),2011,Marietta,(age 67)
Ohio 7,Bob Gibbs,,Republican,Ohio SenateOhio House of Representatives,"Ohio State University, Wooster",2011,Lakeville[61],(age 68)
Ohio 8,Warren Davidson,,Republican,Businessman,United States Military Academy (BS)University of Notre Dame (MBA),2016 (special),Troy,(age 52)
Ohio 9,Marcy Kaptur,,Democratic,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin–Madison (BA)University of Michigan (MUP)Massachusetts Institute of Technology,1983,Toledo,(age 76)
Ohio 10,Mike Turner,,Republican,Mayor of Dayton,Ohio Northern University (BA)Case Western Reserve University (JD)University of Dayton (MBA),2003,Dayton,(age 62)
Ohio 11,Shontel Brown,,Democratic,Cuyahoga County Council,Cuyahoga Community College (AS),2021 (special),Warrensville Heights,(age 47)
Ohio 12,Troy Balderson,,Republican,Ohio Senate,Muskingum UniversityOhio State University,2018 (special),Zanesville,(age 60)
Ohio 13,Tim Ryan,,Democratic,Ohio Senate,"Youngstown State UniversityBowling Green State University (BA)University of New Hampshire, Concord (JD)",2003,Warren[62],(age 49)
Ohio 14,David Joyce,,Republican,Geauga County Prosecutor,"University of Dayton (BS, JD)",2013,Russell Township[63],(age 65)
Ohio 15,Mike Carey,,Republican,Lobbyist,Marion Military Institute (AA)Ohio State University (BA),2021 (special),Columbus,(age 51)
Ohio 16,Anthony Gonzalez,,Republican,Football player,Ohio State University (BA)Stanford University (MBA),2019,Rocky River,(age 37)
Oklahoma 1,Kevin Hern,,Republican,Businessman,"Arkansas Tech University (BS)Georgia Institute of TechnologyUniversity of Arkansas, Little Rock (MBA)",2018 (special),Tulsa,(age 60)
Oklahoma 2,Markwayne Mullin,,Republican,BusinessmanMixed martial artist,"Missouri Valley CollegeOklahoma State University, Okmulgee",2013,Westville,(age 44)
Oklahoma 3,Frank Lucas,,Republican,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994 (special),Cheyenne[64],(age 62)
Oklahoma 4,Tom Cole,,Republican,Oklahoma SenateOklahoma Secretary of StateCollege professor,Grinnell College (BA)Yale University (MA)University of Oklahoma (PhD),2003,Moore,(age 73)
Oklahoma 5,Stephanie Bice,,Republican,Oklahoma Senate,"Oklahoma State University, Stillwater (BS)",2021,Oklahoma City[65],(age 48)
Oregon 1,Suzanne Bonamici,,Democratic,Oregon House of RepresentativesOregon State Senate,"Lane Community CollegeUniversity of Oregon (BA, JD)",2012 (special),Beaverton,(age 67)
Oregon 2,Cliff Bentz,,Republican,Oregon State Senate,Eastern Oregon University (BA)Lewis and Clark College (JD),2021,Ontario,(age 70)
Oregon 3,Earl Blumenauer,,Democratic,Oregon House of Representatives Multnomah County Commissioner Portland City Commissioner,"Lewis & Clark College (BA, JD)",1996 (special),Portland,(age 73)
Oregon 4,Peter DeFazio,,Democratic,Lane County Commissioner,Tufts University (BA)University of Oregon (MA),1987,Springfield,(age 75)
Oregon 5,Kurt Schrader,,Democratic,VeterinarianOregon State Senate,"Cornell University (BA)University of Illinois Urbana-Champaign (BS, DVM)",2009,Canby,(age 70)
Pennsylvania 1,Brian Fitzpatrick,,Republican,FBI agentSpecial Assistant U.S. Attorney,"La Salle University (BS)Pennsylvania State University (MBA)Pennsylvania State University, Carlisle (JD)",2017,Levittown,(age 48)
Pennsylvania 2,Brendan Boyle,,Democratic,Pennsylvania House of Representatives,University of Notre Dame (BA)Harvard University (MPP),2015,Philadelphia,(age 45)
Pennsylvania 3,Dwight Evans,,Democratic,Pennsylvania House of Representatives,Community College of Philadelphia (AA)La Salle University (BA),2016 (special),Philadelphia,(age 68)
Pennsylvania 4,Madeleine Dean,,Democratic,Pennsylvania House of Representatives,La Salle University (BA)Widener University (JD),2019,Jenkintown[66],(age 63)
Pennsylvania 5,Mary Gay Scanlon,,Democratic,Attorney,Colgate University (BA)University of Pennsylvania (JD),2018 (special),Swarthmore,(age 62)
Pennsylvania 6,Chrissy Houlahan,,Democratic,EntrepreneurU.S. Air Force,Stanford University (BS)Massachusetts Institute of Technology (MS),2019,Devon,(age 55)
Pennsylvania 7,Susan Wild,,Democratic,Solicitor of Allentown,American University (BA)George Washington University (JD),2018 (special),Allentown[67],(age 65)
Pennsylvania 8,Matt Cartwright,,Democratic,Attorney,"Hamilton College, New York (BA)University of Pennsylvania (JD)",2013,Moosic,(age 61)
Pennsylvania 9,Dan Meuser,,Republican,Secretary of Revenue of Pennsylvania,State University of New York Maritime CollegeCornell University (BA),2019,Dallas,(age 58)
Pennsylvania 10,Scott Perry,,Republican,Pennsylvania House of RepresentativesBusinessmanU.S. Army,Pennsylvania State University (BS)United States Army War College (MS),2013,Dillsburg[68],(age 60)
Pennsylvania 11,Lloyd Smucker,,Republican,Pennsylvania Senate,Lebanon Valley CollegeFranklin and Marshall College,2017,Lancaster[69],(age 58)
Pennsylvania 12,Fred Keller,,Republican,Pennsylvania House of Representatives,–,2019 (special),Middleburg[70],(age 56)
Pennsylvania 13,John Joyce,,Republican,Dermatologist,"Pennsylvania State University, AltoonaPennsylvania State University, University Park (BS)Temple University (MD)",2019,Hollidaysburg[71],(age 65)
Pennsylvania 14,Guy Reschenthaler,,Republican,Pennsylvania SenateJudgeU.S. Navy,"Pennsylvania State University, Behrend (BA)Duquesne University (JD)",2019,Peters Township[72],(age 39)
Pennsylvania 15,Glenn Thompson,,Republican,Chair of the Centre County Republican Committee,Pennsylvania State University (BS)Temple University (MEd),2009,Howard[73],(age 62)
Pennsylvania 16,Mike Kelly,,Republican,Butler City Council,University of Notre Dame (BA),2011,Butler,(age 74)
Pennsylvania 17,Conor Lamb,,Democratic,Assistant U.S. Attorney for the Western District of PennsylvaniaU.S. Marine Corps,"University of Pennsylvania (BA, JD)",2018 (special),Mt. Lebanon,(age 38)
Pennsylvania 18,Mike Doyle,,Democratic,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,(age 68)
Rhode Island 1,David Cicilline,,Democratic,Mayor of ProvidenceRhode Island House of Representatives,Brown University (BA)Georgetown University (JD),2011,Providence,(age 61)
Rhode Island 2,James Langevin,,Democratic,Secretary of State of Rhode IslandRhode Island House of Representatives,Rhode Island College (BA)Harvard University (MPA),2001,Warwick,(age 58)
South Carolina 1,Nancy Mace,,Republican,South Carolina House of Representatives,The Citadel (BS)University of Georgia (MS),2021,Charleston,(age 44)
South Carolina 2,Joe Wilson,,Republican,South Carolina Senate,Washington and Lee University (BA)University of South Carolina (JD),2001 (special),Springdale[74],(age 74)
South Carolina 3,Jeff Duncan,,Republican,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,(age 56)
South Carolina 4,William Timmons,,Republican,AttorneyEntrepreneur,"George Washington University (BA)University of South Carolina (MA, JD)",2019,Greenville,(age 38)
South Carolina 5,Ralph Norman,,Republican,South Carolina House of RepresentativesReal estate developer,Presbyterian College (BS),2017 (special),Rock Hill,(age 69)
South Carolina 6,Jim Clyburn,,Democratic,Political aideTeacher,South Carolina State University (BA),1993,Columbia,(age 82)
South Carolina 7,Tom Rice,,Republican,AttorneyBusinessmanHorry County Council Chair,"University of South Carolina (BS, MA, JD)",2013,Myrtle Beach,(age 64)
South Dakota at-large,Dusty Johnson,,Republican,Chief of Staff to the Governor of South DakotaSouth Dakota Public Utilities Commission,University of South Dakota (BA)University of Kansas (MPA),2019,Mitchell,(age 45)
Tennessee 1,Diana Harshbarger,,Republican,Pharmacist,East Tennessee State University (BS)Mercer University (PharmD),2021,Kingsport,(age 62)
Tennessee 2,Tim Burchett,,Republican,Mayor of Knox CountyTennessee SenateTennessee House of Representatives,"University of Tennessee,Knoxville (BS)",2019,Knoxville,(age 57)
Tennessee 3,Chuck Fleischmann,,Republican,Attorney,University of Illinois Urbana-Champaign (BA)University of Tennessee (JD),2011,Chattanooga[75],(age 59)
Tennessee 4,Scott DesJarlais,,Republican,Physician,"University of South Dakota (BS, MD)",2011,Sherwood[76],(age 58)
Tennessee 5,Jim Cooper,,Democratic,U.S. HouseCollege professor,"University of North Carolina at Chapel Hill (BA)Oriel College, Oxford (MA)Harvard University (JD)",2003,Nashville,(age 68)
Tennessee 6,John Rose,,Republican,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS)Purdue University, West Lafayette (MS)Vanderbilt University (JD)",2019,Cookeville,(age 57)
Tennessee 7,Mark E. Green,,Republican,Tennessee Senate,United States Military Academy (BS)University of Southern California (MA)Wright State University (MD),2019,Clarksville,(age 57)
Tennessee 8,David Kustoff,,Republican,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Germantown[77],(age 55)
Tennessee 9,Steve Cohen,,Democratic,Tennessee SenateAttorney,Vanderbilt University (BA)University of Memphis (JD),2007,Memphis,(age 73)
Texas 1,Louie Gohmert,,Republican,Texas appeals court judge,Texas A&M University (BA)Baylor University (JD),2005,Tyler,(age 68)
Texas 2,Dan Crenshaw,,Republican,U.S. Navy SEAL,Tufts University (BA)Harvard University (MPA),2019,Houston[78],(age 38)
Texas 3,Van Taylor,,Republican,Texas SenateTexas House of Representatives,"Harvard University (BA, MBA)",2019,Plano,(age 49)
Texas 4,Pat Fallon,,Republican,Texas SenateTexas House of RepresentativesUnited States Air Force second lieutenant,University of Notre Dame (BA),2021,Sherman[79],(age 54)
Texas 5,Lance Gooden,,Republican,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",2019,Terrell[80],(age 39)
Texas 6,Jake Ellzey,,Republican,Texas House of Representatives United States Navy commander,United States Naval Academy (BS),2021 (special),Midlothian,(age 52)
Texas 7,Lizzie Pannill Fletcher,,Democratic,Attorney,Kenyon College (BA)College of William and Mary (JD),2019,Houston,(age 47)
Texas 8,Kevin Brady,,Republican,Texas House of Representatives,University of South Dakota (BA),1997,The Woodlands,(age 67)
Texas 9,Al Green,,Democratic,Harris County Justice of the PeaceHouston NAACP president,Florida A&M UniversityTuskegee University (BA)Texas Southern University (JD),2005,Houston,(age 74)
Texas 10,Michael McCaul,,Republican,AttorneyFederal prosecutor,"Trinity University (BA)St. Mary's University, Texas (JD)",2005,Austin[81],(age 60)
Texas 11,August Pfluger,,Republican,U.S. National Security CouncilUnited States Air Force Lieutenant colonel,United States Air Force Academy (BS) Embry–Riddle Aeronautical University (MS) Air University (MS) Georgetown University (MS),2021,San Angelo,(age 43)
Texas 12,Kay Granger,,Republican,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,(age 79)
Texas 13,Ronny Jackson,,Republican,Chief Medical Advisor to the PresidentPhysician to the PresidentUnited States Navy Rear admiral,Texas A&M University (BS)University of Texas Medical Branch (MD),2021,Amarillo,(age 55)
Texas 14,Randy Weber,,Republican,Texas House of RepresentativesPearland City Council,Alvin Community CollegeUniversity of Houston–Clear Lake (BS),2013,Friendswood[82],(age 69)
Texas 15,Vicente Gonzalez,,Democratic,Food processing executiveTexas State Board of Education,Embry–Riddle Aeronautical University (BA)Texas Wesleyan University (JD),2017,McAllen,(age 54)
Texas 16,Veronica Escobar,,Democratic,El Paso County CommissionEl Paso County Judge,"University of Texas, El Paso (BA)New York University (MA)",2019,El Paso,(age 52)
Texas 17,Pete Sessions,,Republican,U.S. House,Southwestern University (BS),2021,Waco,(age 67)
Texas 18,Sheila Jackson Lee,,Democratic,Houston City Council Municipal judge,Yale University (BA) University of Virginia (JD),1995,Houston,(age 72)
Texas 19,Jodey Arrington,,Republican,EducatorPublic administratorWhite House aide,"Texas Tech University (BA, MPA)",2017,Lubbock,(age 50)
Texas 20,Joaquin Castro,,Democratic,Texas House of Representatives,Stanford University (BA)Harvard University (JD),2013,San Antonio,(age 47)
Texas 21,Chip Roy,,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)University of Texas, Austin (JD)",2019,Austin,(age 49)
Texas 22,Troy Nehls,,Republican,Sheriff of Fort Bend County,Liberty University (BA)University of Houston–Downtown (MA),2021,Richmond,(age 54)
Texas 23,Tony Gonzales,,Republican,United States Navy Master Chief Petty Officer,Chaminade University (AA)Excelsior College (BS)American Public University (MA),2021,San Antonio,(age 41)
Texas 24,Beth Van Duyne,,Republican,Mayor of Irving,Cornell University (BA),2021,Irving,(age 51)
Texas 25,Roger Williams,,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Austin[83],(age 72)
Texas 26,Michael C. Burgess,,Republican,Physician,"University of North Texas (BS, MS)University of Texas, Houston (MD)University of Texas at Dallas (MS)",2003,Pilot Point[84],(age 71)
Texas 27,Michael Cloud,,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,(age 47)
Texas 28,Henry Cuellar,,Democratic,Texas House of RepresentativesTexas Secretary of State,"Laredo Community CollegeGeorgetown University (BA)University of Texas at Austin (JD, PhD)Texas A&M International University (MA)",2005,Laredo,(age 66)
Texas 29,Sylvia Garcia,,Democratic,Texas Senate,Texas Woman's University (BA)Texas Southern University (JD),2019,Houston,(age 71)
Texas 30,Eddie Bernice Johnson,,Democratic,Texas SenateNurse,"St Mary's College, IndianaTexas Christian University (BS)Southern Methodist University (MPA)",1993,Dallas,(age 86)
Texas 31,John Carter,,Republican,Texas state district judge,Texas Tech University (BA)University of Texas at Austin (JD),2003,Round Rock,(age 80)
Texas 32,Colin Allred,,Democratic,AttorneyFootball player,"Baylor University (BA)University of California, Berkeley (JD)",2019,Dallas,(age 39)
Texas 33,Marc Veasey,,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,(age 51)
Texas 34,Mayra Flores,,Republican,Respiratory therapist,"Texas State Technical College, Harlingen (AA)South Texas College (BS)",2022 (special),McAllen[85],(age 36)
Texas 35,Lloyd Doggett,,Democratic,Texas SenateTexas Supreme Court justiceCollege professor,"University of Texas at Austin (BA, JD)",1995,Austin,(age 75)
Texas 36,Brian Babin,,Republican,Lower Neches Valley AuthorityTexas Historical CommissionMayor of Woodville,"Lamar University (BS)University of Texas, Houston (DDS)",2015,Woodville,(age 74)
Utah 1,Blake Moore,,Republican,United States Foreign Service officer,University of Utah (BA)Northwestern University (MS),2021,Salt Lake City[86],(age 42)
Utah 2,Chris Stewart,,Republican,AuthorBusinessman,Utah State University (BA),2013,Farmington,(age 62)
Utah 3,John Curtis,,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,(age 62)
Utah 4,Burgess Owens,,Republican,Businessman National Football League player,University of Miami (BS),2021,Salt Lake City[87],(age 70)
Vermont at-large,Peter Welch,,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)University of California, Berkeley (JD)",2007,Norwich,(age 75)
Virginia 1,Rob Wittman,,Republican,Mayor of Montross Westmoreland County Board of SupervisorsVirginia House of Delegates,Virginia Tech (BS) University of North Carolina at Chapel Hill (MPH) Virginia Commonwealth University (PhD),2007 (special),Montross,(age 63)
Virginia 2,Elaine Luria,,Democratic,U.S. Navy Commander,United States Naval Academy (BS)Old Dominion University (MS),2019,Norfolk,(age 46)
Virginia 3,Bobby Scott,,Democratic,Virginia SenateVirginia House of Delegates,Harvard University (BA)Boston College (JD),1993,Newport News,(age 75)
Virginia 4,Donald McEachin,,Democratic,Virginia SenateVirginia House of Delegates,American University (BA)University of Virginia (JD)Virginia Union University (MDiv),2017,Richmond[88],(age 60)
Virginia 5,Bob Good,,Republican,Liberty University Athletic Director Campbell County Board of Supervisors,"Liberty University (BS, MBA)",2021,Evington[89],(age 56)
Virginia 6,Ben Cline,,Republican,Virginia House of Delegates,Bates College (BA)University of Richmond (JD),2019,Rockbridge County,(age 50)
Virginia 7,Abigail Spanberger,,Democratic,CIA operations officer,University of Virginia (BA)Purdue University (MBA),2019,Glen Allen,(age 42)
Virginia 8,Don Beyer,,Democratic,U.S. Ambassador to Switzerland and LiechtensteinLieutenant Governor of Virginia,Williams College (BA),2015,Alexandria,(age 72)
Virginia 9,Morgan Griffith,,Republican,Virginia House of Delegates,Emory and Henry College (BA) Washington and Lee University (JD),2011,Salem,(age 64)
Virginia 10,Jennifer Wexton,,Democratic,Virginia Senate,"University of Maryland, College Park (BA)College of William and Mary (JD)",2019,Leesburg,(age 54)
Virginia 11,Gerry Connolly,,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[90] (BA)Harvard University (MPA)",2009,Fairfax,(age 72)
Washington 1,Suzan DelBene,,Democratic,Washington Department of Revenue Director,Reed College (BS)University of Washington (MBA),2012 (special),Medina,(age 60)
Washington 2,Rick Larsen,,Democratic,Snohomish County Council,Pacific Lutheran University (BA)University of Minnesota (MPA),2001,Everett[91],(age 57)
Washington 3,Jaime Herrera Beutler,,Republican,Washington House of Representatives,Bellevue CollegeUniversity of Washington (BA),2011,Battle Ground[92],(age 43)
Washington 4,Dan Newhouse,,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,(age 67)
Washington 5,Cathy McMorris Rodgers,,Republican,Washington House of Representatives,Pensacola Christian College (BA)University of Washington (MBA),2005,Spokane[93],(age 53)
Washington 6,Derek Kilmer,,Democratic,Washington State Senate,"Princeton University (BA)University of Oxford (MA, PhD)",2013,Gig Harbor[94],(age 48)
Washington 7,Pramila Jayapal,,Democratic,Washington State Senate,Georgetown University (BA)Northwestern University (MBA),2017,Seattle,(age 56)
Washington 8,Kim Schrier,,Democratic,Pediatrician,"University of California, Berkeley (BS)University of California, Davis (MD)",2019,Sammamish,(age 53)
Washington 9,Adam Smith,,Democratic,Washington State Senate,Western Washington UniversityFordham University (BA)University of Washington (JD),1997,Bellevue,(age 57)
Washington 10,Marilyn Strickland,,Democratic,Mayor of Tacoma,University of Washington (BA)Clark Atlanta University (MBA),2021,Tacoma,(age 59)
West Virginia 1,David McKinley,,Republican,West Virginia House of DelegatesBusinessman,Purdue University (BS),2011,Wheeling,(age 75)
West Virginia 2,Alex Mooney,,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,(age 51)
West Virginia 3,Carol Miller,,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington[95],(age 71)
Wisconsin 1,Bryan Steil,,Republican,Congressional aideAttorney,Georgetown University (BS)University of Wisconsin–Madison (JD),2019,Janesville,(age 41)
Wisconsin 2,Mark Pocan,,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont[96],(age 57)
Wisconsin 3,Ron Kind,,Democratic,County Prosecutor,Harvard University (BA)London School of Economics(MA)University of Minnesota (JD),1997,La Crosse,(age 59)
Wisconsin 4,Gwen Moore,,Democratic,Wisconsin State SenateWisconsin State Assembly,Marquette University (BA),2005,Milwaukee,(age 71)
Wisconsin 5,Scott Fitzgerald,,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman[97],(age 58)
Wisconsin 6,Glenn Grothman,,Republican,Wisconsin SenateWisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah[98],(age 67)
Wisconsin 7,Tom Tiffany,,Republican,Wisconsin SenateWisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,(age 64)
Wisconsin 8,Mike Gallagher,,Republican,Political advisorU.S. Marine Corps,"Princeton University (BA)National Intelligence University (MS)Georgetown University (MA, MS, PhD)",2017,Green Bay,(age 38)
Wyoming at-large,Liz Cheney,,Republican,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,Colorado College (BA)University of Chicago (JD),2017,Wilson[99],(age 55)
