title,url,original_price,discounted_price,image_url
Kintsugi,http://www.bukabuku.com/browses/product/9786029474435/kintsugi.html,Rp. 120.000,Rp. 102.000,http://img.bukabuku.net/product_thumb/f/b/fb58e59cfe539813dd7208d2788c9972.jpg
Suluh Rindu (Pouch Bag),http://www.bukabuku.com/browses/product/2010001201731/suluh-rindu-(pouch-bag).html,Rp. 140.000,Rp. 133.000,http://img.bukabuku.net/product_thumb/e/b/ebb7c041764e86aed1b1d4a7c7b4ee53.jpg
Suluh Rindu,http://www.bukabuku.com/browses/product/9786232791503/suluh-rindu.html,Rp. 130.000,Rp. 117.000,http://img.bukabuku.net/product_thumb/6/6/662960b937d870fb2c93d53c1c1d840c.jpg
Persuasion (republish),http://www.bukabuku.com/browses/product/9786232423336/persuasion-(republish).html,Rp. 84.000,Rp. 67.200,http://img.bukabuku.net/product_thumb/e/4/e47551c266dbebf0e09874f3222a7bc9.jpg
Brianna dan Bottomwise,http://www.bukabuku.com/browses/product/9786022919421/brianna-dan-bottomwise.html,Rp. 115.000,Rp. 97.750,http://img.bukabuku.net/product_thumb/2/c/2cac57bba0c220c7a6620542e24966f9.jpg
Laut Bercerita,http://www.bukabuku.com/browses/product/9786024818722/laut-bercerita.html,Rp. 190.000,Rp. 152.000,http://img.bukabuku.net/product_thumb/c/5/c5efac6e4ccf4a5df12928015ef1b2b3.jpg
Menikmati Kepergianmu,http://www.bukabuku.com/browses/product/2010001201557/menikmati-kepergianmu.html,Rp. 77.500,Rp. 58.125,http://img.bukabuku.net/product_thumb/4/2/42c1a83b164c6aadf62df498a9721da0.jpg
Mrs. Dalloway,http://www.bukabuku.com/browses/product/9786024412869/mrs-dalloway.html,Rp. 79.000,Rp. 63.200,http://img.bukabuku.net/product_thumb/1/a/1abd36889b3c1316ef0ae8c3846696a5.jpg
PAKET BUNDLING - SO MRS. DALLOWAY 2 BUKU Bonus GIMMICK,http://www.bukabuku.com/browses/product/2010001201465/paket-bundling--so-mrs-dalloway-2-buku-bonus-gimmick.html,Rp. 194.000,Rp. 155.200,http://img.bukabuku.net/product_thumb/0/e/0e0f99a19adbaabd4db79b79b9cd20a9.jpg
PAKET SO MRS. DALLOWAY BONUS GIMMICK,http://www.bukabuku.com/browses/product/2010001201458/paket-so-mrs-dalloway-bonus-gimmick.html,Rp. 79.000,Rp. 67.150,http://img.bukabuku.net/product_thumb/9/7/9701019f697d0da52498cd4a8c69a693.jpg
The Anthropocene Reviewed,http://www.bukabuku.com/browses/product/9786024412890/the-anthropocene-reviewed.html,Rp. 99.000,Rp. 84.150,http://img.bukabuku.net/product_thumb/5/8/58096594fe22436a8c193376c0a75f46.jpg
City Lite: The Strange Playlist,http://www.bukabuku.com/browses/product/9786230033964/city-lite-the-strange-playlist.html,Rp. 115.000,Rp. 92.000,http://img.bukabuku.net/product_thumb/a/1/a171fbf1f65f320b76407e23852dfcd4.jpg
Records of Rainy Days,http://www.bukabuku.com/browses/product/9786024818456/records-of-rainy-days.html,,,http://img.bukabuku.net/product_thumb/4/6/46ebac9c3b5b7384dc4946fdcd330160.jpg
Man Boy,http://www.bukabuku.com/browses/product/9786020662749/man-boy.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/6/9/69c6119f8b9af279fac57057c035d4bc.jpg
Salahkan Bintang Jatuh [Paket Merch],http://www.bukabuku.com/browses/product/2010001200987/salahkan-bintang-jatuh-[paket-merch].html,Rp. 105.000,Rp. 89.250,http://img.bukabuku.net/product_thumb/e/b/eb879780e97c8c8aea0d2f2decc722d9.jpg
Paket Po Salahkan Bintang Jatuh Bonus Stiker Pack Dan Art Print,http://www.bukabuku.com/browses/product/2010001200970/paket-po-salahkan-bintang-jatuh-bonus-stiker-pack-dan-art-print.html,Rp. 65.000,Rp. 55.250,http://img.bukabuku.net/product_thumb/3/3/333ef18240e6f3dde620379ae6e3ba9a.jpg
Salahkan Bintang Jatuh,http://www.bukabuku.com/browses/product/9786239853723/salahkan-bintang-jatuh.html,Rp. 75.000,Rp. 60.000,http://img.bukabuku.net/product_thumb/3/1/31cb2b399929e199358da2a4a85986fa.jpg
Bersorak Bahagia,http://www.bukabuku.com/browses/product/9786020529547/bersorak-bahagia.html,Rp. 90.000,Rp. 72.000,http://img.bukabuku.net/product_thumb/1/d/1d1b88bd4f9c7fd7ffd425b6bb375f0d.jpg
172 days,http://www.bukabuku.com/browses/product/9786236483725/172-days.html,Rp. 95.000,Rp. 76.000,http://img.bukabuku.net/product_thumb/1/6/163f0822234666a1b8a2352250ebf4f1.jpg
Psikologi Kesepian,http://www.bukabuku.com/browses/product/9786026486707/psikologi-kesepian.html,Rp. 75.000,Rp. 67.500,http://img.bukabuku.net/product_thumb/f/8/f883dd4be0ecacfa55bf3fd107728f03.jpg
Selenophile,http://www.bukabuku.com/browses/product/2010001200024/selenophile.html,Rp. 135.000,Rp. 114.750,http://img.bukabuku.net/product_thumb/3/8/3823f97a4a005c8ec1f065b5ae517781.jpg
Pembaca Bintang Di Kedai Kopi Bulan Purnama,http://www.bukabuku.com/browses/product/9786026486776/pembaca-bintang-di-kedai-kopi-bulan-purnama.html,Rp. 95.000,Rp. 85.500,http://img.bukabuku.net/product_thumb/4/3/439b6848ceadff2a00a31fe5b51bbc77.jpg
The Communication Book,http://www.bukabuku.com/browses/product/9786236083352/the-communication-book.html,Rp. 129.000,Rp. 96.750,http://img.bukabuku.net/product_thumb/a/f/af358f516d42d5c23d10e9660bf97275.jpg
Kitab Mantan,http://www.bukabuku.com/browses/product/9786236844342/kitab-mantan.html,Rp. 99.000,Rp. 74.250,http://img.bukabuku.net/product_thumb/e/0/e0f07a00acde79cf1edd597065f1d0e3.jpg
SI JUKI ANAK KOSAN VOLUME 2,http://www.bukabuku.com/browses/product/9786026714770/si-juki-anak-kosan-volume-2.html,Rp. 70.000,Rp. 56.000,http://img.bukabuku.net/product_thumb/6/5/65fd88e02f4438f4267276204566670b.jpg
Sangkakala di Langit Andalusia,http://www.bukabuku.com/browses/product/9786232791435/sangkakala-di-langit-andalusia.html,Rp. 110.000,Rp. 93.500,http://img.bukabuku.net/product_thumb/5/9/5959c8867e80480831d5b7d8ede45e32.jpg
ARSENIO,http://www.bukabuku.com/browses/product/9786235266091/arsenio.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/4/a/4a2e2e2bd62b4a5def1954d5eafb586d.jpg
Memberi Ruang,http://www.bukabuku.com/browses/product/9786022919209/memberi-ruang.html,Rp. 59.000,Rp. 47.200,http://img.bukabuku.net/product_thumb/6/6/6634fcaea3844ed3aa829d833947cabd.jpg
Taken Slowly,http://www.bukabuku.com/browses/product/9786232423312/taken-slowly.html,Rp. 79.000,Rp. 63.200,http://img.bukabuku.net/product_thumb/3/6/36f76befc1a9f53d79a0d1787c0a1438.jpg
Andai Sel-Sel Dalam Tubuhmu Berbicara,http://www.bukabuku.com/browses/product/9786022919001/andai-sel-sel-dalam-tubuhmu-berbicara.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/7/b/7b70da08833818495810c2852c40b933.jpg
Indonesia X-files (republish 2022),http://www.bukabuku.com/browses/product/9786232423077/indonesia-x-files-(republish-2022).html,Rp. 98.000,Rp. 78.400,http://img.bukabuku.net/product_thumb/1/f/1fc58ee4afd01fcd6f07b95dfaf575b1.jpg
Cantik Itu Luka (edisi 20 Tahun HC),http://www.bukabuku.com/browses/product/2010001199915/cantik-itu-luka-(edisi-20-tahun-hc).html,Rp. 178.000,Rp. 142.400,http://img.bukabuku.net/product_thumb/1/e/1ea21b0d2b83d5cb8985edc8b7358099.jpg
Paket Catatan Untuk Diriku+jurnal,http://www.bukabuku.com/browses/product/2010001199632/paket-catatan-untuk-diriku+jurnal.html,Rp. 69.000,Rp. 55.200,http://img.bukabuku.net/product_thumb/9/0/906d8b8256d7254e5536ce791255b957.jpg
Hilang Dalam Dekapan Semeru,http://www.bukabuku.com/browses/product/9786230032967/hilang-dalam-dekapan-semeru.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/c/5/c5da532b41f061531dacc3c030cd9d67.jpg
CALON BESAN,http://www.bukabuku.com/browses/product/9786233100519/calon-besan.html,Rp. 99.500,Rp. 79.600,http://img.bukabuku.net/product_thumb/0/e/0efba4c0f6e23dc5c6cc746f1f93af53.jpg
Maria Beetle,http://www.bukabuku.com/browses/product/9786020660578/maria-beetle.html,Rp. 135.000,Rp. 108.000,http://img.bukabuku.net/product_thumb/9/3/93a63cd3b07318abbfc1d73d5159b91d.jpg
PAPADAN 5S20C MILIK DANIEL,http://www.bukabuku.com/browses/product/2010001198604/papadan-5s20c-milik-daniel.html,Rp. 99.500,Rp. 79.600,http://img.bukabuku.net/product_thumb/8/1/818fbeb0e7c916c27145d9de2dc0f66b.jpg
AKSA,http://www.bukabuku.com/browses/product/2010001199045/aksa.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/4/9/495795502af8154680320050c5f46288.jpg
WANGSIT HOTS SBMPTN SAINTEK 2023,http://www.bukabuku.com/browses/product/2010001199014/wangsit-hots-sbmptn-saintek-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/0/3/03391b9df7789a75340a38128243df2a.jpg
WANGSIT HOTS SBMPTN SOSHUM 2023,http://www.bukabuku.com/browses/product/2010001199007/wangsit-hots-sbmptn-soshum-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/c/9/c99e693694030798a1e2afa62f4c9216.jpg
PEREMPUAN (EDISI 2022),http://www.bukabuku.com/browses/product/2010001198918/perempuan-(edisi-2022).html,Rp. 110.000,Rp. 82.500,http://img.bukabuku.net/product_thumb/0/0/00d4773fa32d3045fdd514ac150fdb99.jpg
KEPEMIMPINAN MILITER CATATAN DARI PENGALAMAN BUKU 1 & 2 (2022),http://www.bukabuku.com/browses/product/9786025154171/kepemimpinan-militer-catatan-dari-pengalaman-buku-1-2-(2022).html,Rp. 408.000,Rp. 326.400,http://img.bukabuku.net/product_thumb/2/9/29272d5fd1ff3acd06da306be08f9f81.jpg
Penyalin Cahaya,http://www.bukabuku.com/browses/product/9786020659381/penyalin-cahaya.html,Rp. 70.000,Rp. 56.000,http://img.bukabuku.net/product_thumb/4/e/4e43eeb87e114f5609df10424ef1b5c2.jpg
Secret Mate,http://www.bukabuku.com/browses/product/9786236835432/secret-mate.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/8/b/8b1da9026f15319bbcad26ffc5999b1c.jpg
Baby Bala-Bala,http://www.bukabuku.com/browses/product/9786236835449/baby-bala-bala.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/6/e/6ec7bfddedfb08bcd063b34ace9b3b6e.jpg
Elegi Haekal [Paket Jovan],http://www.bukabuku.com/browses/product/2010001198611/elegi-haekal-[paket-jovan].html,Rp. 109.000,Rp. 87.200,http://img.bukabuku.net/product_thumb/c/6/c61390eea25eca990430862cd38cf5fb.jpg
Ana Uhibbuka Fillah,http://www.bukabuku.com/browses/product/9786239887551/ana-uhibbuka-fillah.html,Rp. 99.000,Rp. 94.050,http://img.bukabuku.net/product_thumb/4/1/417b60e6344608e056b40ee6d5ddf08b.jpg
ANNE OF GREEN GABLES (REPUBLISH 2022),http://www.bukabuku.com/browses/product/9786024412777/anne-of-green-gables-(republish-2022).html,Rp. 89.000,Rp. 71.200,http://img.bukabuku.net/product_thumb/2/0/201610211ae90065a8fb3d65759a1794.jpg
Petualangan Di Luar Angkasa,http://www.bukabuku.com/browses/product/9786239869373/petualangan-di-luar-angkasa.html,Rp. 69.000,Rp. 55.200,http://img.bukabuku.net/product_thumb/e/a/ea3a0e5756bf555f6f992174d373cb92.jpg
Hidup Bersama Al-Quran 2: Moderasi dan pembelajaran Transformatif,http://www.bukabuku.com/browses/product/9786235375014/hidup-bersama-al-quran-2-moderasi-dan-pembelajaran-transformatif.html,Rp. 120.000,Rp. 90.000,http://img.bukabuku.net/product_thumb/c/c/cc9afde27656706ea90d099b9a57f304.jpg
Broken Badly [Paket DIA],http://www.bukabuku.com/browses/product/2010001197751/broken-badly-[paket-dia].html,Rp. 89.000,Rp. 71.200,http://img.bukabuku.net/product_thumb/7/9/798bcb46f63d468e166064e32fd99e19.jpg
Broken Badly [Paket HIM ],http://www.bukabuku.com/browses/product/9786232423275/broken-badly-[paket-him-].html,Rp. 74.000,Rp. 59.200,http://img.bukabuku.net/product_thumb/a/d/ad0847d8bdff851d9d62a0a79c1cce87.jpg
Ichigo Ichie,http://www.bukabuku.com/browses/product/9786236083338/ichigo-ichie.html,Rp. 89.000,Rp. 66.750,http://img.bukabuku.net/product_thumb/e/f/efc804f1db0cd2221d74b508773c42cf.jpg
SALETTA,http://www.bukabuku.com/browses/product/2010001197461/saletta.html,Rp. 99.900,Rp. 94.905,http://img.bukabuku.net/product_thumb/2/0/20ea49c4c9f5e111097f8aebeb8d8692.jpg
PECI MIRING,http://www.bukabuku.com/browses/product/9786027926622/peci-miring.html,Rp. 120.000,Rp. 96.000,http://img.bukabuku.net/product_thumb/0/f/0f0b195ee17100ad225975362def269e.jpg
The Chronicles of Narnia #1: The Magician`s Nephew (Keponakan Penyihir),http://www.bukabuku.com/browses/product/9786020336398/the-chronicles-of-narnia-1-the-magician`s-nephew-(keponakan-penyihir).html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/9/9/9911baa7c15599f5227d3c802b196b38.jpg
THe Haze Inside,http://www.bukabuku.com/browses/product/9786232791398/the-haze-inside.html,Rp. 95.000,Rp. 80.750,http://img.bukabuku.net/product_thumb/2/6/26be51bb8ce7a886503de0992762e6d8.jpg
TEA BLENDING,http://www.bukabuku.com/browses/product/9789790066694/tea-blending.html,Rp. 168.000,Rp. 142.800,http://img.bukabuku.net/product_thumb/9/e/9e1fd9dc9d29497b063f7cf5b60c6157.jpg
The Nectar of Pain,http://www.bukabuku.com/browses/product/9786020528205/the-nectar-of-pain.html,Rp. 150.000,Rp. 120.000,http://img.bukabuku.net/product_thumb/d/1/d1ad2e348027f4196dc24da6d236bf9b.jpg
"Mariposa 2 Antara Kupu-kupu, Sapi, Dan Semut (part 2)",http://www.bukabuku.com/browses/product/9786236456118/mariposa-2-antara-kupu-kupu-sapi-dan-semut-(part-2).html,Rp. 155.000,Rp. 139.500,http://img.bukabuku.net/product_thumb/1/5/158f2ac1d15f8bbbf980899010550ef5.jpg
Mariposa 2 Kupu-kupu Dan Bunga Matahari (part 1),http://www.bukabuku.com/browses/product/9786236456101/mariposa-2-kupu-kupu-dan-bunga-matahari-(part-1).html,Rp. 155.000,Rp. 139.500,http://img.bukabuku.net/product_thumb/d/c/dc7d8dd7aa9a01f5090e4e9a9e6a861d.jpg
Off The Record 3,http://www.bukabuku.com/browses/product/9786020653365/off-the-record-3.html,Rp. 120.000,Rp. 96.000,http://img.bukabuku.net/product_thumb/e/1/e1f800d9526fcc7b0946253dfe5a4d16.jpg
Ulysses Moore: Misteri Di Labirin,http://www.bukabuku.com/browses/product/9786024673369/ulysses-moore-misteri-di-labirin.html,Rp. 99.000,Rp. 74.250,http://img.bukabuku.net/product_thumb/9/c/9cc241332d37cdba16c763ffe7e23b22.jpg
GAMALIEL,http://www.bukabuku.com/browses/product/9786233100656/gamaliel.html,Rp. 99.500,Rp. 79.600,http://img.bukabuku.net/product_thumb/b/f/bf23779a693d760953143e9b516da584.jpg
Black Angel Mafia,http://www.bukabuku.com/browses/product/9786239710378/black-angel-mafia.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/6/8/68a5a6975df36473540c0bc0dad4acda.jpg
Menikmati Kepergianmu,http://www.bukabuku.com/browses/product/2010001201557/menikmati-kepergianmu.html,Rp. 77.500,Rp. 58.125,http://img.bukabuku.net/product_thumb/4/2/42c1a83b164c6aadf62df498a9721da0.jpg
Psikologi Kesepian,http://www.bukabuku.com/browses/product/9786026486707/psikologi-kesepian.html,Rp. 75.000,Rp. 67.500,http://img.bukabuku.net/product_thumb/f/8/f883dd4be0ecacfa55bf3fd107728f03.jpg
WANGSIT HOTS SBMPTN SAINTEK 2023,http://www.bukabuku.com/browses/product/2010001199014/wangsit-hots-sbmptn-saintek-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/0/3/03391b9df7789a75340a38128243df2a.jpg
WANGSIT HOTS SBMPTN SOSHUM 2023,http://www.bukabuku.com/browses/product/2010001199007/wangsit-hots-sbmptn-soshum-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/c/9/c99e693694030798a1e2afa62f4c9216.jpg
Bite The Bullet,http://www.bukabuku.com/browses/product/2010001200659/bite-the-bullet.html,Rp. 100.000,Rp. 95.000,http://img.bukabuku.net/product_thumb/5/b/5b95ae1c6cf0e1e321c289fdd0feea88.jpg
Zellyn And The Sparkling,http://www.bukabuku.com/browses/product/9786239710361/zellyn-and-the-sparkling.html,Rp. 95.000,Rp. 76.000,http://img.bukabuku.net/product_thumb/e/6/e67a29fcccdd0c4bd214914d49392aaa.jpg
Di Balik Pintu No. 18,http://www.bukabuku.com/browses/product/9786233100649/di-balik-pintu-no-18.html,Rp. 89.500,Rp. 71.600,http://img.bukabuku.net/product_thumb/d/8/d83ca1f748193012fa56d6ffe72f65e2.jpg
Buku Aktivitas & Stiker - Dunia Kendaraan,http://www.bukabuku.com/browses/product/9786230307751/buku-aktivitas-stiker--dunia-kendaraan.html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/c/d/cdf21ca9a81c24a053d0ead779ccb904.jpg
Why? Game Science - Sains Permainan,http://www.bukabuku.com/browses/product/9786230033520/why-game-science--sains-permainan.html,Rp. 110.000,Rp. 88.000,http://img.bukabuku.net/product_thumb/1/d/1d73efb370776f8a166c01c588a35150.jpg
Classics: Hidup-Mati di Burma (Burmese Days),http://www.bukabuku.com/browses/product/9786020659800/classics-hidup-mati-di-burma-(burmese-days).html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/1/3/13040d95bf906efc173161b01400c294.jpg
Buku Aku Pintar Mewarnai,http://www.bukabuku.com/browses/product/9786230408984/buku-aku-pintar-mewarnai.html,Rp. 54.000,Rp. 43.200,http://img.bukabuku.net/product_thumb/e/f/ef224ae85bea15e88cc4a03f60a12284.jpg
Buku Aktivitas & Stiker - Dunia Hewan,http://www.bukabuku.com/browses/product/9786230307744/buku-aktivitas-stiker--dunia-hewan.html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/0/1/0149a3bd0083be548cede3a2a82b5905.jpg
From Darkness into Light (English Version),http://www.bukabuku.com/browses/product/9786230033384/from-darkness-into-light-(english-version).html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/e/1/e1accee021e29faa120bbef7b3351ed7.jpg
ARSENIO,http://www.bukabuku.com/browses/product/9786235266091/arsenio.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/4/a/4a2e2e2bd62b4a5def1954d5eafb586d.jpg
Laut Bercerita,http://www.bukabuku.com/browses/product/9786024818722/laut-bercerita.html,Rp. 190.000,Rp. 152.000,http://img.bukabuku.net/product_thumb/c/5/c5efac6e4ccf4a5df12928015ef1b2b3.jpg
SEMINAR,http://www.bukabuku.com/browses/product/2010001200833/seminar.html,Rp. 129.000,Rp. 103.200,http://img.bukabuku.net/product_thumb/6/1/617700c93823880c096aa9b952f33093.jpg
The Communication Book,http://www.bukabuku.com/browses/product/9786236083352/the-communication-book.html,Rp. 129.000,Rp. 96.750,http://img.bukabuku.net/product_thumb/a/f/af358f516d42d5c23d10e9660bf97275.jpg
City Lite: The Strange Playlist,http://www.bukabuku.com/browses/product/9786230033964/city-lite-the-strange-playlist.html,Rp. 115.000,Rp. 92.000,http://img.bukabuku.net/product_thumb/a/1/a171fbf1f65f320b76407e23852dfcd4.jpg
Brianna dan Bottomwise,http://www.bukabuku.com/browses/product/9786022919421/brianna-dan-bottomwise.html,Rp. 115.000,Rp. 97.750,http://img.bukabuku.net/product_thumb/2/c/2cac57bba0c220c7a6620542e24966f9.jpg
Dia Angkasa (special Edition),http://www.bukabuku.com/browses/product/9786233100267/dia-angkasa-(special-edition).html,Rp. 95.000,Rp. 76.000,http://img.bukabuku.net/product_thumb/4/8/48a175a92f64508e255b6466a19a5831.jpg
Man Boy,http://www.bukabuku.com/browses/product/9786020662749/man-boy.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/6/9/69c6119f8b9af279fac57057c035d4bc.jpg
Records of Rainy Days,http://www.bukabuku.com/browses/product/9786024818456/records-of-rainy-days.html,,,http://img.bukabuku.net/product_thumb/4/6/46ebac9c3b5b7384dc4946fdcd330160.jpg
The Anthropocene Reviewed,http://www.bukabuku.com/browses/product/9786024412890/the-anthropocene-reviewed.html,Rp. 99.000,Rp. 84.150,http://img.bukabuku.net/product_thumb/5/8/58096594fe22436a8c193376c0a75f46.jpg
Salahkan Bintang Jatuh,http://www.bukabuku.com/browses/product/9786239853723/salahkan-bintang-jatuh.html,Rp. 75.000,Rp. 60.000,http://img.bukabuku.net/product_thumb/3/1/31cb2b399929e199358da2a4a85986fa.jpg
Paket Po Salahkan Bintang Jatuh Bonus Stiker Pack Dan Art Print,http://www.bukabuku.com/browses/product/2010001200970/paket-po-salahkan-bintang-jatuh-bonus-stiker-pack-dan-art-print.html,Rp. 65.000,Rp. 55.250,http://img.bukabuku.net/product_thumb/3/3/333ef18240e6f3dde620379ae6e3ba9a.jpg
Mrs. Dalloway,http://www.bukabuku.com/browses/product/9786024412869/mrs-dalloway.html,Rp. 79.000,Rp. 63.200,http://img.bukabuku.net/product_thumb/1/a/1abd36889b3c1316ef0ae8c3846696a5.jpg
PAKET SO MRS. DALLOWAY BONUS GIMMICK,http://www.bukabuku.com/browses/product/2010001201458/paket-so-mrs-dalloway-bonus-gimmick.html,Rp. 79.000,Rp. 67.150,http://img.bukabuku.net/product_thumb/9/7/9701019f697d0da52498cd4a8c69a693.jpg
PAKET BUNDLING - SO MRS. DALLOWAY 2 BUKU Bonus GIMMICK,http://www.bukabuku.com/browses/product/2010001201465/paket-bundling--so-mrs-dalloway-2-buku-bonus-gimmick.html,Rp. 194.000,Rp. 155.200,http://img.bukabuku.net/product_thumb/0/e/0e0f99a19adbaabd4db79b79b9cd20a9.jpg
